WKT,name,description
"POINT (74.6971257 32.8924965)",Manda,
"POINT (72.8929 30.611015)",Harappa (Pak),
"POINT (75.3929523 29.8601656)",Lakhmirwala (Mansa | PJ),
"POINT (74.1328046 29.4701189)",Kalibangan (RS),
"POINT (75.4330161 29.3963693)",Banawali (HR),
"POINT (76.1131495 29.2881189)",Rakhigarhi (HR),
"POINT (76.181272 28.8833835)",Mitathal (HR),
"POINT (77.4917065 29.0089034)",Alamgirpur (UP),
"POINT (71.149988 28.5988908)",Ganweriwala (Pak),
"POINT (68.1371795 27.3287231)",Mohenjo-daro (Pak),
"POINT (68.7214593 27.3559022)",Kot Diji (Sindh | Pak),
"POINT (68.0149609 26.1706885)",Aamri (Sindh | Pak),
"POINT (66.7762244 25.4007588)",Kot Bala or Balkot (Baluchistan 
 Pak),
"POINT (61.9508521 25.4999183)",Sutkagan Dor (Enmost),
"POINT (70.2140444 23.8808877)",Dholavira (Kachchh | GJ),
"POINT (70.9174176 23.6112541)",Surkotada (Kachchh, GJ),
"POINT (69.0910622 22.3173344)",Nageshvar (Kachchh | GJ) ,
"POINT (70.3843721 20.9060022)",Somnath (GJ),
"POINT (72.2493601 22.5228574)",Lothal (Sabarmati River | GJ),
"POINT (72.7555249 23.4591987)",Rangpur (Bhadar River | GJ),
"POINT (74.7012035 19.5107011)",Daimabad (Pravara River | MH),
