name,WKT,
Kandahar (Af),"POLYGON ((65.55712418154907 31.6205076, 65.87451441845094 31.6205076, 65.7158193 31.85456851994174, 65.55712418154907 31.6205076))","""Kandahar (Af)"":""POLYGON ((65.55712418154907 31.6205076, 65.87451441845094 31.6205076, 65.7158193 31.85456851994174, 65.55712418154907 31.6205076))"","
Shahbazgarhi (Pak),"POLYGON ((71.98706006031065 34.226106, 72.31393753968933 34.226106, 72.1504988 34.46016691994174, 71.98706006031065 34.226106))","""Shahbazgarhi (Pak)"":""POLYGON ((71.98706006031065 34.226106, 72.31393753968933 34.226106, 72.1504988 34.46016691994174, 71.98706006031065 34.226106))"","
Mansehra (Pak),"POLYGON ((73.03435758191755 34.3312587, 73.36164421808245 34.3312587, 73.1980009 34.56531961994174, 73.03435758191755 34.3312587))","""Mansehra (Pak)"":""POLYGON ((73.03435758191755 34.3312587, 73.36164421808245 34.3312587, 73.1980009 34.56531961994174, 73.03435758191755 34.3312587))"","
Kalsi,"POLYGON ((77.68700936358644 30.5178942, 78.00074063641355 30.5178942, 77.843875 30.75195511994174, 77.68700936358644 30.5178942))","""Kalsi"":""POLYGON ((77.68700936358644 30.5178942, 78.00074063641355 30.5178942, 77.843875 30.75195511994174, 77.68700936358644 30.5178942))"","
Girnar,"POLYGON ((70.40503234609369 21.5178869, 70.6955508539063 21.5178869, 70.5502916 21.75194781994174, 70.40503234609369 21.5178869))","""Girnar"":""POLYGON ((70.40503234609369 21.5178869, 70.6955508539063 21.5178869, 70.5502916 21.75194781994174, 70.40503234609369 21.5178869))"","
Sopara,"POLYGON ((72.66837199631667 19.4198627, 72.95494620368333 19.4198627, 72.8116591 19.65392361994174, 72.66837199631667 19.4198627))","""Sopara"":""POLYGON ((72.66837199631667 19.4198627, 72.95494620368333 19.4198627, 72.8116591 19.65392361994174, 72.66837199631667 19.4198627))"","
Sannati (KN),"POLYGON ((76.76622238706837 16.8283415, 77.04858441293165 16.8283415, 76.9074034 17.06240241994174, 76.76622238706837 16.8283415))","""Sannati (KN)"":""POLYGON ((76.76622238706837 16.8283415, 77.04858441293165 16.8283415, 76.9074034 17.06240241994174, 76.76622238706837 16.8283415))"","
Sisupalgarh (OD),"POLYGON ((85.71032309508837 20.2290452, 85.99836010491163 20.2290452, 85.8543416 20.46310611994174, 85.71032309508837 20.2290452))","""Sisupalgarh (OD)"":""POLYGON ((85.71032309508837 20.2290452, 85.99836010491163 20.2290452, 85.8543416 20.46310611994174, 85.71032309508837 20.2290452))"","
Jaugada (OD),"POLYGON ((84.68754017875942 19.5226571, 84.97429622124058 19.5226571, 84.8309182 19.75671801994174, 84.68754017875942 19.5226571))","""Jaugada (OD)"":""POLYGON ((84.68754017875942 19.5226571, 84.97429622124058 19.5226571, 84.8309182 19.75671801994174, 84.68754017875942 19.5226571))"","
Bahapur (South Delhi),"POLYGON ((77.16237153862792 28.46753480990991, 77.36750946137207 28.46753480990991, 77.36750946137207 28.64771499009009, 77.16237153862792 28.64771499009009, 77.16237153862792 28.46753480990991))","""Bahapur (South Delhi)"":""POLYGON ((77.16237153862792 28.46753480990991, 77.36750946137207 28.46753480990991, 77.36750946137207 28.64771499009009, 77.16237153862792 28.64771499009009, 77.16237153862792 28.46753480990991))"","
